Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=1.00E+0V,Usd=5.00E+0V,Usd=9.00E+0V,Usd=13.00E+0V,Usd=17.00E+0V,Usd=21.00E+0V,Usd=25.00E+0V
4.89899E+0,3.00030E-2,3.00030E-2,3.00027E-2,3.00034E-2,3.00035E-2,3.00039E-2,3.00035E-2
4.90909E+0,3.00030E-2,3.00030E-2,3.00027E-2,3.00034E-2,3.00035E-2,3.00039E-2,3.00035E-2
4.91919E+0,3.00029E-2,3.00030E-2,3.00029E-2,3.00034E-2,3.00036E-2,3.00038E-2,3.00035E-2
4.92929E+0,3.00030E-2,3.00030E-2,3.00028E-2,3.00034E-2,3.00036E-2,3.00038E-2,3.00034E-2
4.93939E+0,3.00029E-2,3.00031E-2,3.00028E-2,3.00033E-2,3.00036E-2,3.00038E-2,3.00035E-2
4.94949E+0,3.00030E-2,3.00031E-2,3.00028E-2,3.00034E-2,3.00037E-2,3.00038E-2,3.00035E-2
4.95960E+0,3.00028E-2,3.00031E-2,3.00029E-2,3.00034E-2,3.00036E-2,3.00039E-2,3.00035E-2
4.96970E+0,3.00029E-2,3.00031E-2,3.00030E-2,3.00035E-2,3.00036E-2,3.00039E-2,3.00035E-2
4.97980E+0,3.00029E-2,3.00030E-2,3.00029E-2,3.00034E-2,3.00036E-2,3.00038E-2,3.00034E-2
4.98990E+0,3.00029E-2,3.00029E-2,3.00029E-2,3.00034E-2,3.00036E-2,3.00038E-2,3.00035E-2
5.00000E+0,3.00029E-2,3.00029E-2,3.00029E-2,3.00033E-2,3.00036E-2,3.00038E-2,3.00035E-2
