Source,CH1
Second,Volt
 0.00000028600,-3.40000,
 0.00000028700,-3.20000,
 0.00000028800,-3.20000,
 0.00000028900,-3.20000,
 0.00000029000,-3.20000,
 0.00000029100,-3.20000,
 0.00000029200,-3.20000,
 0.00000029300,-3.20000,
 0.00000029400,-3.00000,
 0.00000029500,-3.20000,
 0.00000029600,-3.00000,
 0.00000029700,-3.20000,
 0.00000029800,-3.00000,
 0.00000029900,-3.00000,
 0.00000030000,-2.80000,
 0.00000030100,-3.00000,
 0.00000030200,-2.80000,
 0.00000030300,-3.00000,
 0.00000030400,-2.80000,
 0.00000030500,-3.00000,
 0.00000030600,-2.80000,
 0.00000030700,-2.80000,
 0.00000030800,-2.60000,
 0.00000030900,-2.60000,
 0.00000031000,-2.40000,
 0.00000031100,-2.60000,
 0.00000031200,-2.80000,
 0.00000031300,-2.60000,
 0.00000031400,-2.60000,
 0.00000031500,-2.60000,
 0.00000031600,-2.80000,
 0.00000031700,-2.40000,
 0.00000031800,-2.60000,
 0.00000031900,-2.40000,
 0.00000032000,-2.40000,
 0.00000032100,-2.40000,
 0.00000032200,-2.40000,
 0.00000032300,-2.20000,
 0.00000032400,-2.20000,
 0.00000032500,-2.40000,
 0.00000032600,-2.40000,
 0.00000032700,-2.40000,
 0.00000032800,-2.20000,
 0.00000032900,-2.20000,
 0.00000033000,-2.00000,
 0.00000033100,-2.40000,
 0.00000033200,-2.00000,
 0.00000033300,-2.20000,
 0.00000033400,-2.00000,
 0.00000033500,-2.20000,
 0.00000033600,-2.20000,
 0.00000033700,-2.00000,
 0.00000033800,-1.80000,
 0.00000033900,-2.00000,
 0.00000034000,-2.00000,
 0.00000034100,-2.00000,
 0.00000034200,-2.00000,
 0.00000034300,-1.80000,
 0.00000034400,-1.80000,
 0.00000034500,-2.00000,
 0.00000034600,-2.00000,
 0.00000034700,-2.00000,
 0.00000034800,-1.80000,
 0.00000034900,-1.80000,
 0.00000035000,-1.80000,
 0.00000035100,-1.80000,
 0.00000035200,-2.00000,
 0.00000035300,-1.80000,
 0.00000035400,-1.60000,
 0.00000035500,-2.00000,
 0.00000035600,-1.80000,
 0.00000035700,-1.80000,
 0.00000035800,-1.80000,
 0.00000035900,-1.80000,
 0.00000036000,-1.60000,
 0.00000036100,-1.60000,
 0.00000036200,-1.60000,
 0.00000036300,-1.60000,
 0.00000036400,-1.40000,
 0.00000036500,-1.60000,
 0.00000036600,-1.60000,
 0.00000036700,-1.60000,
 0.00000036800,-1.40000,
 0.00000036900,-1.60000,
 0.00000037000,-1.40000,
 0.00000037100,-1.60000,
 0.00000037200,-1.40000,
 0.00000037300,-1.60000,
 0.00000037400,-1.40000,
 0.00000037500,-1.60000,
 0.00000037600,-1.60000,
 0.00000037700,-1.60000,
 0.00000037800,-1.40000,
 0.00000037900,-1.60000,
 0.00000038000,-1.40000,
 0.00000038100,-1.60000,
 0.00000038200,-1.40000,
 0.00000038300,-1.60000,
 0.00000038400,-1.40000,
 0.00000038500,-1.60000,
 0.00000038600,-1.40000,
 0.00000038700,-1.20000,
 0.00000038800,-1.40000,
 0.00000038900,-1.20000,
 0.00000039000,-1.20000,
 0.00000039100,-1.20000,
 0.00000039200,-1.40000,
 0.00000039300,-1.20000,
 0.00000039400,-1.40000,
 0.00000039500,-1.20000,
 0.00000039600,-1.40000,
 0.00000039700,-1.20000,
 0.00000039800,-1.40000,
 0.00000039900,-1.20000,
 0.00000040000,-1.20000,
 0.00000040100,-1.00000,
 0.00000040200,-1.20000,
 0.00000040300,-1.40000,
 0.00000040400,-1.00000,
 0.00000040500,-1.20000,
 0.00000040600,-1.20000,
 0.00000040700,-1.20000,
 0.00000040800,-1.00000,
 0.00000040900,-1.00000,
 0.00000041000,-1.00000,
 0.00000041100,-1.20000,
 0.00000041200,-0.80000,
 0.00000041300,-1.20000,
 0.00000041400,-1.00000,
 0.00000041500,-1.20000,
 0.00000041600,-1.20000,
 0.00000041700,-1.00000,
 0.00000041800,-0.80000,
 0.00000041900,-1.20000,
 0.00000042000,-1.00000,
 0.00000042100,-0.80000,
 0.00000042200,-0.80000,
 0.00000042300,-1.00000,
 0.00000042400,-0.80000,
 0.00000042500,-1.00000,
 0.00000042600,-1.00000,
 0.00000042700,-1.00000,
 0.00000042800,-0.80000,
 0.00000042900,-0.80000,
 0.00000043000,-1.00000,
 0.00000043100,-1.00000,
 0.00000043200,-1.00000,
 0.00000043300,-1.00000,
 0.00000043400,-0.80000,
 0.00000043500,-1.00000,
 0.00000043600,-1.00000,
 0.00000043700,-0.80000,
 0.00000043800,-0.80000,
 0.00000043900,-1.00000,
 0.00000044000,-0.80000,
 0.00000044100,-0.80000,
 0.00000044200,-0.80000,
 0.00000044300,-0.80000,
 0.00000044400,-0.80000,
 0.00000044500,-1.00000,
 0.00000044600,-0.80000,
 0.00000044700,-0.80000,
 0.00000044800,-0.80000,
 0.00000044900,-0.80000,
 0.00000045000,-0.80000,
 0.00000045100,-0.80000,
