x	CH1	Source	CH1_
-7.80E-08	-0.024	-3.56E-05	-0.02
-7.60E-08	-0.024	-3.56E-05	-0.02
-7.40E-08	-0.008	-3.56E-05	0
-7.20E-08	-0.016	-3.56E-05	-0.02
-7.00E-08	-0.008	-3.55E-05	-0.02
-6.80E-08	-0.024	-3.55E-05	-0.02
-6.60E-08	-0.024	-3.55E-05	0
-6.40E-08	-0.008	-3.55E-05	0
-6.20E-08	-0.008	-3.55E-05	0
-6.00E-08	-0.016	-3.55E-05	-0.02
-5.80E-08	-0.024	-3.55E-05	0
-5.60E-08	-0.024	-3.55E-05	-0.02
-5.40E-08	-0.016	-3.55E-05	0
-5.20E-08	-0.024	-3.55E-05	-0.02
-5.00E-08	-0.008	-3.54E-05	0
-4.80E-08	-0.024	-3.54E-05	-0.02
-4.60E-08	-0.024	-3.54E-05	-0.02
-4.40E-08	-0.008	-3.54E-05	0
-4.20E-08	-0.016	-3.54E-05	-0.02
-4.00E-08	-0.016	-3.54E-05	0
-3.80E-08	-0.024	-3.54E-05	0
-3.60E-08	-0.016	-3.54E-05	0
-3.40E-08	-0.008	-3.54E-05	-0.02
-3.20E-08	-0.008	-3.54E-05	-0.02
-3.00E-08	-0.016	-3.53E-05	0
-2.80E-08	-0.024	-3.53E-05	-0.02
-2.60E-08	-0.024	-3.53E-05	-0.02
-2.40E-08	-0.008	-3.53E-05	-0.02
-2.20E-08	-0.008	-3.53E-05	-0.02
-2.00E-08	-0.008	-3.53E-05	0
-1.80E-08	-0.024	-3.53E-05	-0.02
-1.60E-08	-0.016	-3.53E-05	-0.02
-1.40E-08	-0.008	-3.53E-05	0
-1.20E-08	0	-3.53E-05	0
-1.00E-08	0.008	-3.52E-05	0
-8.00E-09	0	-3.52E-05	-0.02
-6.00E-09	0.024	-3.52E-05	-0.02
-4.00E-09	0.048	-3.52E-05	-0.02
-2.00E-09	0.072	-3.52E-05	-0.02
0.00E+00	0.104	-3.52E-05	-0.02
2.00E-09	0.12	-3.52E-05	0
4.00E-09	0.184	-3.52E-05	-0.02
6.00E-09	0.232	-3.52E-05	0
8.00E-09	0.296	-3.52E-05	-0.02
1.00E-08	0.352	-3.51E-05	-0.02
1.20E-08	0.408	-3.51E-05	-0.02
1.40E-08	0.488	-3.51E-05	-0.02
1.60E-08	0.568	-3.51E-05	-0.02
1.80E-08	0.64	-3.51E-05	-0.02
2.00E-08	0.704	-3.51E-05	-0.02
2.20E-08	0.776	-3.51E-05	-0.02
2.40E-08	0.84	-3.51E-05	0
2.60E-08	0.912	-3.51E-05	-0.02
2.80E-08	0.976	-3.51E-05	0
3.00E-08	1.032	-3.50E-05	-0.02
3.20E-08	1.088	-3.50E-05	-0.02
3.40E-08	1.12	-3.50E-05	0
3.60E-08	1.144	-3.50E-05	-0.02
3.80E-08	1.16	-3.50E-05	0
