Matavo anoniminis tinginys

Usg,Isd,Isd,Isd,Isd,Isd,Isd,Isd
V,A,A,A,A,A,A,A
 ,Usd=0.00E+0V,Usd=500.00E-3V,Usd=1.00E+0V,Usd=1.50E+0V,Usd=2.00E+0V,Usd=2.50E+0V,Usd=3.00E+0V
-4.14141E-1,8.96454E-12,9.07183E-12,9.78708E-12,1.15156E-11,1.25527E-11,1.29819E-11,1.36495E-11
-4.34343E-1,8.92878E-12,8.70228E-12,9.85861E-12,1.15991E-11,1.22309E-11,1.31607E-11,1.39713E-11
-4.54545E-1,8.57115E-12,8.45194E-12,9.76324E-12,1.15037E-11,1.22070E-11,1.30773E-11,1.40905E-11
-4.74747E-1,8.58307E-12,8.47578E-12,9.94205E-12,1.15871E-11,1.23143E-11,1.29700E-11,1.37806E-11
-4.94949E-1,8.59499E-12,8.53539E-12,1.00613E-11,1.15395E-11,1.22428E-11,1.29104E-11,1.38521E-11
-5.15152E-1,8.57115E-12,8.36849E-12,1.00493E-11,1.15752E-11,1.20163E-11,1.28865E-11,1.37210E-11
-5.35354E-1,8.45194E-12,7.95126E-12,1.01686E-11,1.13010E-11,1.20640E-11,1.30773E-11,1.38402E-11
-5.55556E-1,8.24928E-12,8.05855E-12,1.01447E-11,1.15514E-11,1.21713E-11,1.29700E-11,1.35899E-11
-5.75758E-1,8.39233E-12,7.84397E-12,1.02282E-11,1.15275E-11,1.20640E-11,1.31130E-11,1.36018E-11
-5.95960E-1,8.27312E-12,7.86781E-12,1.02162E-11,1.16467E-11,1.20878E-11,1.27912E-11,1.36733E-11
-6.16162E-1,8.15392E-12,7.92742E-12,1.03831E-11,1.13010E-11,1.19925E-11,1.27077E-11,1.36971E-11
-6.36364E-1,8.20160E-12,7.91550E-12,1.02043E-11,1.14203E-11,1.20759E-11,1.29580E-11,1.36018E-11
-6.56566E-1,8.02279E-12,7.71284E-12,1.01805E-11,1.15156E-11,1.19805E-11,1.29223E-11,1.34110E-11
-6.76768E-1,8.02279E-12,7.68900E-12,1.03593E-11,1.13249E-11,1.20401E-11,1.28269E-11,1.35064E-11
-6.96970E-1,7.86781E-12,7.43866E-12,1.02162E-11,1.11938E-11,1.21355E-11,1.26719E-11,1.38164E-11
-7.17172E-1,8.05855E-12,7.70092E-12,1.02162E-11,1.12653E-11,1.20401E-11,1.26719E-11,1.37925E-11
-7.37374E-1,7.82013E-12,7.72476E-12,1.02758E-11,1.10984E-11,1.20163E-11,1.26719E-11,1.34706E-11
-7.57576E-1,7.92742E-12,7.74860E-12,1.05262E-11,1.09792E-11,1.20044E-11,1.29819E-11,1.35541E-11
-7.77778E-1,7.79629E-12,7.89166E-12,1.02878E-11,1.10507E-11,1.19209E-11,1.27077E-11,1.33157E-11
-7.97980E-1,7.59363E-12,7.53403E-12,1.03951E-11,1.09076E-11,1.19567E-11,1.27435E-11,1.36137E-11
-8.18182E-1,7.17640E-12,7.76052E-12,1.04070E-11,1.11580E-11,1.20044E-11,1.28269E-11,1.35422E-11
-8.38384E-1,7.20024E-12,7.56979E-12,1.02401E-11,1.11699E-11,1.16706E-11,1.26719E-11,1.35064E-11
-8.58586E-1,7.31945E-12,8.04663E-12,1.01209E-11,1.09792E-11,1.18256E-11,1.26839E-11,1.34349E-11
-8.78788E-1,7.18832E-12,8.04663E-12,1.02401E-11,1.12772E-11,1.15871E-11,1.27077E-11,1.33753E-11
-8.98990E-1,7.18832E-12,8.05855E-12,1.02282E-11,1.11580E-11,1.18256E-11,1.26123E-11,1.33395E-11
-9.19192E-1,7.10487E-12,8.54731E-12,1.03116E-11,1.09315E-11,1.19567E-11,1.26958E-11,1.30415E-11
-9.39394E-1,6.80685E-12,8.40425E-12,1.02997E-11,1.09434E-11,1.18256E-11,1.25766E-11,1.23978E-11
-9.59596E-1,6.94990E-12,8.48770E-12,1.01805E-11,1.10984E-11,1.19925E-11,1.27792E-11,1.31011E-11
-9.79798E-1,6.77109E-12,8.53539E-12,1.02758E-11,1.09196E-11,1.19090E-11,1.27673E-11,1.33276E-11
-1.00000E+0,6.68764E-12,8.82149E-12,1.01805E-11,1.10745E-11,1.17898E-11,1.24931E-11,1.33038E-11
