x	I_SD 1	I_SD 2	I_SD 3	I_SD 4	I_SD 5	I_SD 6
0.0874	4.97e-06	1.52e-05	4.35e-05	0.000113	0.000261	0.000529
0.0884	4.98e-06	1.52e-05	4.36e-05	0.000113	0.000262	0.000532
0.0894	4.99e-06	1.53e-05	4.37e-05	0.000114	0.000263	0.000534
0.0905	5e-06	1.53e-05	4.38e-05	0.000114	0.000264	0.000536
0.0915	5e-06	1.53e-05	4.39e-05	0.000114	0.000265	0.000539
0.0925	5.01e-06	1.53e-05	4.4e-05	0.000115	0.000266	0.000541
0.0935	5.02e-06	1.54e-05	4.41e-05	0.000115	0.000266	0.000543
0.0945	5.03e-06	1.54e-05	4.41e-05	0.000115	0.000267	0.000545
0.0955	5.03e-06	1.54e-05	4.42e-05	0.000115	0.000268	0.000547
0.0965	5.04e-06	1.54e-05	4.43e-05	0.000116	0.000269	0.000549
0.0975	5.04e-06	1.55e-05	4.44e-05	0.000116	0.00027	0.000551
0.0985	5.05e-06	1.55e-05	4.44e-05	0.000116	0.00027	0.000553
0.0995	5.06e-06	1.55e-05	4.45e-05	0.000116	0.000271	0.000555
0.101	5.06e-06	1.55e-05	4.46e-05	0.000117	0.000272	0.000557
0.102	5.07e-06	1.55e-05	4.46e-05	0.000117	0.000272	0.000559
0.103	5.07e-06	1.56e-05	4.47e-05	0.000117	0.000273	0.000561
0.104	5.08e-06	1.56e-05	4.48e-05	0.000117	0.000274	0.000563
0.105	5.08e-06	1.56e-05	4.48e-05	0.000117	0.000274	0.000564
0.106	5.09e-06	1.56e-05	4.49e-05	0.000118	0.000275	0.000566
0.107	5.09e-06	1.56e-05	4.49e-05	0.000118	0.000275	0.000568
0.108	5.09e-06	1.56e-05	4.5e-05	0.000118	0.000276	0.000569
0.109	5.1e-06	1.57e-05	4.5e-05	0.000118	0.000277	0.000571
0.11	5.1e-06	1.57e-05	4.51e-05	0.000118	0.000277	0.000572
0.111	5.11e-06	1.57e-05	4.51e-05	0.000119	0.000278	0.000574
0.112	5.11e-06	1.57e-05	4.52e-05	0.000119	0.000278	0.000575
0.113	5.11e-06	1.57e-05	4.52e-05	0.000119	0.000279	0.000577
0.114	5.12e-06	1.57e-05	4.53e-05	0.000119	0.000279	0.000578
0.115	5.12e-06	1.57e-05	4.53e-05	0.000119	0.00028	0.00058
0.116	5.12e-06	1.57e-05	4.53e-05	0.000119	0.00028	0.000581
0.117	5.13e-06	1.58e-05	4.54e-05	0.000119	0.000281	0.000582
0.118	5.13e-06	1.58e-05	4.54e-05	0.00012	0.000281	0.000584
0.119	5.13e-06	1.58e-05	4.55e-05	0.00012	0.000282	0.000585
0.12	5.13e-06	1.58e-05	4.55e-05	0.00012	0.000282	0.000586
0.121	5.14e-06	1.58e-05	4.55e-05	0.00012	0.000282	0.000588
0.122	5.14e-06	1.58e-05	4.56e-05	0.00012	0.000283	0.000589
0.123	5.14e-06	1.58e-05	4.56e-05	0.00012	0.000283	0.00059
0.124	5.14e-06	1.58e-05	4.56e-05	0.00012	0.000284	0.000591
0.125	5.15e-06	1.58e-05	4.57e-05	0.00012	0.000284	0.000592
0.126	5.15e-06	1.58e-05	4.57e-05	0.000121	0.000284	0.000593
0.127	5.15e-06	1.58e-05	4.57e-05	0.000121	0.000285	0.000594
0.128	5.15e-06	1.58e-05	4.57e-05	0.000121	0.000285	0.000595
0.129	5.16e-06	1.59e-05	4.58e-05	0.000121	0.000285	0.000596
0.13	5.16e-06	1.59e-05	4.58e-05	0.000121	0.000286	0.000597
0.131	5.16e-06	1.59e-05	4.58e-05	0.000121	0.000286	0.000598
0.132	5.16e-06	1.59e-05	4.58e-05	0.000121	0.000286	0.000599
0.133	5.16e-06	1.59e-05	4.59e-05	0.000121	0.000287	0.0006
