x	Usd=5 V	Usd=4.12 V	Usd=3.25 V	Usd=2.37 V	Usd=1.5 V
3.76	1.05e-05	1.09e-05	1.11e-05	1.14e-05	1.15e-05
3.76	1.1e-05	1.13e-05	1.16e-05	1.18e-05	1.2e-05
3.77	1.14e-05	1.18e-05	1.2e-05	1.23e-05	1.25e-05
3.77	1.19e-05	1.22e-05	1.25e-05	1.28e-05	1.3e-05
3.78	1.23e-05	1.28e-05	1.31e-05	1.33e-05	1.35e-05
3.78	1.28e-05	1.33e-05	1.36e-05	1.39e-05	1.41e-05
3.79	1.34e-05	1.38e-05	1.41e-05	1.45e-05	1.47e-05
3.79	1.39e-05	1.44e-05	1.47e-05	1.51e-05	1.53e-05
3.8	1.45e-05	1.5e-05	1.54e-05	1.57e-05	1.59e-05
3.8	1.51e-05	1.56e-05	1.6e-05	1.63e-05	1.65e-05
3.81	1.57e-05	1.62e-05	1.66e-05	1.7e-05	1.72e-05
3.81	1.63e-05	1.69e-05	1.73e-05	1.77e-05	1.79e-05
3.82	1.7e-05	1.76e-05	1.8e-05	1.84e-05	1.87e-05
3.82	1.77e-05	1.83e-05	1.87e-05	1.92e-05	1.94e-05
3.83	1.84e-05	1.9e-05	1.95e-05	2e-05	2.02e-05
3.83	1.92e-05	1.98e-05	2.03e-05	2.08e-05	2.11e-05
3.84	2e-05	2.07e-05	2.12e-05	2.17e-05	2.2e-05
3.84	2.07e-05	2.15e-05	2.2e-05	2.25e-05	2.28e-05
3.85	2.16e-05	2.24e-05	2.29e-05	2.35e-05	2.38e-05
3.85	2.25e-05	2.33e-05	2.39e-05	2.44e-05	2.48e-05
3.86	2.34e-05	2.43e-05	2.49e-05	2.55e-05	2.58e-05
3.86	2.43e-05	2.52e-05	2.59e-05	2.65e-05	2.69e-05
3.87	2.54e-05	2.63e-05	2.7e-05	2.76e-05	2.8e-05
3.87	2.64e-05	2.74e-05	2.81e-05	2.87e-05	2.92e-05
3.88	2.75e-05	2.85e-05	2.93e-05	2.99e-05	3.04e-05
3.88	2.86e-05	2.96e-05	3.04e-05	3.11e-05	3.16e-05
3.89	2.98e-05	3.09e-05	3.17e-05	3.24e-05	3.29e-05
3.89	3.1e-05	3.22e-05	3.3e-05	3.38e-05	3.43e-05
3.9	3.23e-05	3.35e-05	3.44e-05	3.52e-05	3.58e-05
3.9	3.36e-05	3.48e-05	3.58e-05	3.66e-05	3.72e-05
3.91	3.5e-05	3.63e-05	3.73e-05	3.81e-05	3.87e-05
3.91	3.64e-05	3.78e-05	3.88e-05	3.97e-05	4.04e-05
3.92	3.8e-05	3.94e-05	4.05e-05	4.14e-05	4.21e-05
3.92	3.95e-05	4.09e-05	4.2e-05	4.3e-05	4.37e-05
3.93	4.11e-05	4.27e-05	4.38e-05	4.49e-05	4.56e-05
3.93	4.28e-05	4.45e-05	4.57e-05	4.67e-05	4.75e-05
3.94	4.46e-05	4.63e-05	4.76e-05	4.87e-05	4.95e-05
