x	I_SD	I_SD 2	I_SD 3	I_SD 4	I_SD 5	I_SD 6
0.354	3.29e-08	6.68e-08	1.38e-07	2.88e-07	6.09e-07	1.3e-06
0.358	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.1e-07	1.3e-06
0.362	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.1e-07	1.3e-06
0.366	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.1e-07	1.3e-06
0.37	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.1e-07	1.3e-06
0.374	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.1e-07	1.3e-06
0.378	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.11e-07	1.3e-06
0.382	3.29e-08	6.69e-08	1.38e-07	2.88e-07	6.11e-07	1.31e-06
0.386	3.29e-08	6.7e-08	1.38e-07	2.88e-07	6.11e-07	1.31e-06
0.39	3.29e-08	6.7e-08	1.38e-07	2.88e-07	6.11e-07	1.31e-06
0.394	3.29e-08	6.7e-08	1.38e-07	2.89e-07	6.11e-07	1.31e-06
0.398	3.29e-08	6.7e-08	1.38e-07	2.89e-07	6.12e-07	1.31e-06
0.402	3.29e-08	6.7e-08	1.38e-07	2.89e-07	6.12e-07	1.31e-06
0.406	3.3e-08	6.7e-08	1.38e-07	2.89e-07	6.12e-07	1.31e-06
0.41	3.3e-08	6.7e-08	1.38e-07	2.89e-07	6.12e-07	1.31e-06
0.414	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.12e-07	1.31e-06
0.418	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.13e-07	1.31e-06
0.422	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.13e-07	1.31e-06
0.426	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.13e-07	1.31e-06
0.43	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.13e-07	1.31e-06
0.434	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.13e-07	1.31e-06
0.438	3.3e-08	6.71e-08	1.38e-07	2.89e-07	6.13e-07	1.31e-06
0.442	3.3e-08	6.72e-08	1.38e-07	2.9e-07	6.14e-07	1.31e-06
0.446	3.3e-08	6.72e-08	1.39e-07	2.9e-07	6.14e-07	1.31e-06
0.45	3.3e-08	6.72e-08	1.39e-07	2.9e-07	6.14e-07	1.31e-06
0.454	3.3e-08	6.72e-08	1.39e-07	2.9e-07	6.14e-07	1.31e-06
0.458	3.3e-08	6.72e-08	1.39e-07	2.9e-07	6.15e-07	1.31e-06
