Matavo anoniminis tinginys

Usd,Isd
V,A
 ,Usg=4.30E+0V,Usg=4.37E+0V,Usg=4.43E+0V,Usg=4.50E+0V,Usg=4.57E+0V,Usg=4.63E+0V,Usg=4.70E+0V
4.44444E-1,5.53974E-4,9.36439E-4,1.57641E-3,2.62269E-3,4.30154E-3,6.93354E-3,1.09127E-2
4.49495E-1,5.54525E-4,9.37509E-4,1.57853E-3,2.62600E-3,4.30707E-3,6.94396E-3,1.09314E-2
4.54545E-1,5.55109E-4,9.38551E-4,1.58051E-3,2.62953E-3,4.31389E-3,6.95354E-3,1.09484E-2
4.59596E-1,5.55723E-4,9.39730E-4,1.58240E-3,2.63272E-3,4.31966E-3,6.96355E-3,1.09666E-2
4.64646E-1,5.56322E-4,9.40717E-4,1.58438E-3,2.63621E-3,4.32613E-3,6.97384E-3,1.09835E-2
4.69697E-1,5.56878E-4,9.41675E-4,1.58601E-3,2.63961E-3,4.33147E-3,6.98295E-3,1.10009E-2
4.74747E-1,5.57435E-4,9.42813E-4,1.58778E-3,2.64294E-3,4.33704E-3,6.99270E-3,1.10178E-2
4.79798E-1,5.58044E-4,9.43761E-4,1.58964E-3,2.64588E-3,4.34311E-3,7.00289E-3,1.10342E-2
4.84848E-1,5.58598E-4,9.44838E-4,1.59158E-3,2.64904E-3,4.34868E-3,7.01276E-3,1.10497E-2
4.89899E-1,5.59196E-4,9.45873E-4,1.59328E-3,2.65242E-3,4.35446E-3,7.02184E-3,1.10651E-2
4.94949E-1,5.59784E-4,9.46807E-4,1.59532E-3,2.65541E-3,4.35988E-3,7.03149E-3,1.10820E-2
5.00000E-1,5.60284E-4,9.47802E-4,1.59705E-3,2.65823E-3,4.36527E-3,7.04067E-3,1.10973E-2
